"","qKO_rep1","qKO_rep2","qKO_rep3","WT_rep1","WT_rep2","WT_rep3"
"ENSMUSG00000104358.1",16,44,30,57,34,8
"ENSMUSG00000026123.11",2518,2996,764,1544,1920,418
"ENSMUSG00000103716.1",0,0,0,0,0,0
"ENSMUSG00000103548.1",2,0,0,0,0,0
"ENSMUSG00000103760.1",0,0,0,2,0,0
"ENSMUSG00000103997.1",0,0,0,0,0,0
"ENSMUSG00000077231.1",0,0,0,0,0,0
"ENSMUSG00000104417.1",0,0,0,0,0,0
"ENSMUSG00000064601.1",0,0,0,0,0,0
"ENSMUSG00000101714.1",0,0,0,0,0,0
"ENSMUSG00000102531.1",2,2,0,0,0,0
"ENSMUSG00000103096.1",0,0,0,0,0,0
"ENSMUSG00000102279.1",0,4,0,0,0,0
"ENSMUSG00000103708.1",62,58,48,47,20,26
"ENSMUSG00000104201.1",6,22,8,9,2,2
"ENSMUSG00000102434.1",8,6,8,0,2,0
